"                 precision    recall  f1-score   support

         others       0.81      0.87      0.84        15
      I-Nothing       1.00      0.93      0.97        15
       I-Others       0.94      1.00      0.97        15
E-M1-Al Residue       1.00      1.00      1.00        15
         I-Dust       1.00      1.00      1.00        15
    T-ITO1-Hole       1.00      1.00      1.00        15
     T-M2-Fiber       0.94      1.00      0.97        15
  I-Sand Defect       1.00      1.00      1.00        15
I-Glass Scratch       1.00      1.00      1.00        15
   E-AS-Residue       1.00      1.00      1.00        15
     T-Oil Like       1.00      1.00      1.00        15
    E-ITO1-Hole       1.00      1.00      1.00        15
 P-ITO1-Residue       0.93      0.93      0.93        15
 I-Laser Repair       1.00      1.00      1.00        15
        P-AS-NO       1.00      0.93      0.97        15
   E-M2-Residue       1.00      0.93      0.97        15
   P-M2-Residue       1.00      1.00      1.00        15
  T-AS-SiN Hole       1.00      1.00      1.00        15
   P-M1-Residue       1.00      1.00      1.00        15
   T-AS-Residue       0.93      0.93      0.93        15
   P-AS-Residue       1.00      1.00      1.00        15

       accuracy                           0.98       315
      macro avg       0.98      0.98      0.98       315
   weighted avg       0.98      0.98      0.98       315
"
